ZONE I=5, J=5
0 0 0.761594
0.025 0 0.75027
0.05 0 0.738946
0.075 0 0.727622
0.1 0 0.716298
0 0.05 0.779609
0.025 0.05 0.769048
0.05 0.05 0.758486
0.075 0.05 0.747925
0.1 0.05 0.737364
0 0.1 0.797624
0.025 0.1 0.787826
0.05 0.1 0.778027
0.075 0.1 0.768228
0.1 0.1 0.758429
0 0.15 0.815639
0.025 0.15 0.806603
0.05 0.15 0.797567
0.075 0.15 0.788531
0.1 0.15 0.779495
0 0.2 0.833655
0.025 0.2 0.825381
0.05 0.2 0.817108
0.075 0.2 0.808834
0.1 0.2 0.800561
ZONE I=5, J=5
0.1 0 0.716298
0.125 0 0.703233
0.15 0 0.690167
0.175 0 0.677102
0.2 0 0.664037
0.1 0.05 0.737364
0.125 0.05 0.725138
0.15 0.05 0.712912
0.175 0.05 0.700685
0.2 0.05 0.688459
0.1 0.1 0.758429
0.125 0.1 0.747043
0.15 0.1 0.735656
0.175 0.1 0.724269
0.2 0.1 0.712882
0.1 0.15 0.779495
0.125 0.15 0.768948
0.15 0.15 0.7584
0.175 0.15 0.747852
0.2 0.15 0.737305
0.1 0.2 0.800561
0.125 0.2 0.790853
0.15 0.2 0.781144
0.175 0.2 0.771436
0.2 0.2 0.761727
ZONE I=5, J=5
0.2 0 0.664037
0.225 0 0.64912
0.25 0 0.634202
0.275 0 0.619285
0.3 0 0.604368
0.2 0.05 0.688459
0.225 0.05 0.674446
0.25 0.05 0.660432
0.275 0.05 0.646418
0.3 0.05 0.632404
0.2 0.1 0.712882
0.225 0.1 0.699772
0.25 0.1 0.686661
0.275 0.1 0.673551
0.3 0.1 0.66044
0.2 0.15 0.737305
0.225 0.15 0.725098
0.25 0.15 0.712891
0.275 0.15 0.700683
0.3 0.15 0.688476
0.2 0.2 0.761727
0.225 0.2 0.750424
0.25 0.2 0.73912
0.275 0.2 0.727816
0.3 0.2 0.716512
ZONE I=5, J=5
0.3 0 0.604368
0.325 0 0.587538
0.35 0 0.570709
0.375 0 0.553879
0.4 0 0.53705
0.3 0.05 0.632404
0.325 0.05 0.616521
0.35 0.05 0.600638
0.375 0.05 0.584755
0.4 0.05 0.568871
0.3 0.1 0.66044
0.325 0.1 0.645503
0.35 0.1 0.630567
0.375 0.1 0.61563
0.4 0.1 0.600693
0.3 0.15 0.688476
0.325 0.15 0.674486
0.35 0.15 0.660496
0.375 0.15 0.646505
0.4 0.15 0.632515
0.3 0.2 0.716512
0.325 0.2 0.703469
0.35 0.2 0.690425
0.375 0.2 0.677381
0.4 0.2 0.664337
ZONE I=5, J=5
0.4 0 0.53705
0.425 0 0.518316
0.45 0 0.499583
0.475 0 0.48085
0.5 0 0.462117
0.4 0.05 0.568871
0.425 0.05 0.551097
0.45 0.05 0.533323
0.475 0.05 0.515549
0.5 0.05 0.497774
0.4 0.1 0.600693
0.425 0.1 0.583878
0.45 0.1 0.567062
0.475 0.1 0.550247
0.5 0.1 0.533432
0.4 0.15 0.632515
0.425 0.15 0.616658
0.45 0.15 0.600802
0.475 0.15 0.584945
0.5 0.15 0.569089
0.4 0.2 0.664337
0.425 0.2 0.649439
0.45 0.2 0.634541
0.475 0.2 0.619644
0.5 0.2 0.604746
ZONE I=5, J=5
0.5 0 0.462117
