ZONE I=5, J=5
0 0 -7.21536e-07 1.76725e-22 
0.05 0 -6.80506e-07 -2.32304e-07 
0.1 0 -5.83735e-07 -4.24108e-07 
0.15 0 -4.31222e-07 -5.75414e-07 
0.2 0 -2.22967e-07 -6.86222e-07 
0 0.05 -1.09986e-06 -2.37056e-15 
0.05 0.05 -1.033e-06 -3.35612e-07 
0.1 0.05 -8.84044e-07 -6.1043e-07 
0.15 0.05 -6.53004e-07 -8.24456e-07 
0.2 0.05 -3.39876e-07 -9.7769e-07 
0 0.1 -1.59924e-06 -5.15404e-15 
0.05 0.1 -1.50092e-06 -4.93526e-07 
0.1 0.1 -1.28398e-06 -8.96542e-07 
0.15 0.1 -9.484e-07 -1.20905e-06 
0.2 0.1 -4.94191e-07 -1.43104e-06 
0 0.15 -2.21966e-06 -8.35042e-15 
0.05 0.15 -2.08428e-06 -7.06048e-07 
0.1 0.15 -1.78353e-06 -1.28244e-06 
0.15 0.15 -1.31741e-06 -1.72919e-06 
0.2 0.15 -6.85912e-07 -2.04627e-06 
0 0.2 -2.96113e-06 -1.19597e-14 
0.05 0.2 -2.78308e-06 -9.73177e-07 
0.1 0.2 -2.38271e-06 -1.76813e-06 
0.15 0.2 -1.76003e-06 -2.38487e-06 
0.2 0.2 -9.1504e-07 -2.82339e-06 
ZONE I=5, J=5
0.2 0 -2.22967e-07 -6.86222e-07 
0.25 0 1.06457e-08 -7.18986e-07 
0.3 0 2.22967e-07 -6.86222e-07 
0.35 0 4.13997e-07 -5.87929e-07 
0.4 0 5.83735e-07 -4.24108e-07 
0.2 0.05 -3.39876e-07 -9.7769e-07 
0.25 0.05 1.45766e-08 -1.03188e-06 
0.3 0.05 3.37675e-07 -9.87697e-07 
0.35 0.05 6.29418e-07 -8.45154e-07 
0.4 0.05 8.89807e-07 -6.04246e-07 
0.2 0.1 -4.94191e-07 -1.43104e-06 
0.25 0.1 2.07787e-08 -1.51406e-06 
0.3 0.1 4.90435e-07 -1.45064e-06 
0.35 0.1 9.14779e-07 -1.24076e-06 
0.4 0.1 1.29381e-06 -8.84432e-07 
0.2 0.15 -6.85912e-07 -2.04627e-06 
0.25 0.15 2.92521e-08 -2.16555e-06 
0.3 0.15 6.81249e-07 -2.07504e-06 
0.35 0.15 1.27008e-06 -1.77474e-06 
0.4 0.15 1.79574e-06 -1.26467e-06 
0.2 0.2 -9.1504e-07 -2.82339e-06 
0.25 0.2 3.99966e-08 -2.98633e-06 
0.3 0.2 9.10116e-07 -2.8609e-06 
0.35 0.2 1.69532e-06 -2.44711e-06 
0.4 0.2 2.3956e-06 -1.74495e-06 
ZONE I=5, J=5
0.4 0 5.83735e-07 -4.24108e-07 
0.45 0 6.87086e-07 -2.12054e-07 
0.5 0 7.21536e-07 -8.83627e-23 
0.55 0 6.87086e-07 2.12054e-07 
0.6 0 5.83735e-07 4.24108e-07 
0.4 0.05 8.89807e-07 -6.04246e-07 
0.45 0.05 1.04201e-06 -3.02123e-07 
0.5 0.05 1.09274e-06 6.65422e-17 
0.55 0.05 1.04201e-06 3.02123e-07 
0.6 0.05 8.89807e-07 6.04246e-07 
0.4 0.1 1.29381e-06 -8.84432e-07 
0.45 0.1 1.51376e-06 -4.42216e-07 
0.5 0.1 1.58708e-06 6.05342e-16 
0.55 0.1 1.51376e-06 4.42216e-07 
0.6 0.1 1.29381e-06 8.84432e-07 
0.4 0.15 1.79574e-06 -1.26467e-06 
0.45 0.15 2.10236e-06 -6.32333e-07 
0.5 0.15 2.20457e-06 1.6164e-15 
0.55 0.15 2.10236e-06 6.32333e-07 
0.6 0.15 1.79574e-06 1.26467e-06 
0.4 0.2 2.3956e-06 -1.74495e-06 
0.45 0.2 2.8078e-06 -8.72475e-07 
0.5 0.2 2.9452e-06 3.09971e-15 
0.55 0.2 2.8078e-06 8.72475e-07 
0.6 0.2 2.3956e-06 1.74495e-06 
ZONE I=5, J=5
0.6 0 5.83735e-07 4.24108e-07 
0.65 0 4.13997e-07 5.87929e-07 
0.7 0 2.22967e-07 6.86222e-07 
0.75 0 1.06457e-08 7.18986e-07 
0.8 0 -2.22967e-07 6.86222e-07 
0.6 0.05 8.89807e-07 6.04246e-07 
0.65 0.05 6.29418e-07 8.45154e-07 
0.7 0.05 3.37675e-07 9.87697e-07 
0.75 0.05 1.45766e-08 1.03188e-06 
0.8 0.05 -3.39876e-07 9.7769e-07 
0.6 0.1 1.29381e-06 8.84432e-07 
0.65 0.1 9.14779e-07 1.24076e-06 
0.7 0.1 4.90435e-07 1.45064e-06 
0.75 0.1 2.07787e-08 1.51406e-06 
0.8 0.1 -4.94191e-07 1.43104e-06 
0.6 0.15 1.79574e-06 1.26467e-06 
0.65 0.15 1.27008e-06 1.77474e-06 
0.7 0.15 6.81249e-07 2.07504e-06 
0.75 0.15 2.92521e-08 2.16555e-06 
0.8 0.15 -6.85912e-07 2.04627e-06 
0.6 0.2 2.3956e-06 1.74495e-06 
0.65 0.2 1.69532e-06 2.44711e-06 
0.7 0.2 9.10116e-07 2.8609e-06 
0.75 0.2 3.99966e-08 2.98633e-06 
0.8 0.2 -9.1504e-07 2.82339e-06 
ZONE I=5, J=5
0.8 0 -2.22967e-07 6.86222e-07 
0.85 0 -4.31222e-07 5.75414e-07 
0.9 0 -5.83735e-07 4.24108e-07 
0.95 0 -6.80506e-07 2.32304e-07 
1 0 -7.21536e-07 1.76725e-22 
0.8 0.05 -3.39876e-07 9.7769e-07 
0.85 0.05 -6.53004e-07 8.24456e-07 
0.9 0.05 -8.84044e-07 6.1043e-07 
0.95 0.05 -1.033e-06 3.35612e-07 
1 0.05 -1.09986e-06 -2.37056e-15 
0.8 0.1 -4.94191e-07 1.43104e-06 
0.85 0.1 -9.484e-07 1.20905e-06 
0.9 0.1 -1.28398e-06 8.96542e-07 
0.95 0.1 -1.50092e-06 4.93526e-07 
1 0.1 -1.59924e-06 -5.15404e-15 
0.8 0.15 -6.85912e-07 2.04627e-06 
0.85 0.15 -1.31741e-06 1.72919e-06 
0.9 0.15 -1.78353e-06 1.28244e-06 
0.95 0.15 -2.08428e-06 7.06048e-07 
1 0.15 -2.21966e-06 -8.35042e-15 
0.8 0.2 -9.1504e-07 2.82339e-06 
0.85 0.2 -1.76003e-06 2.38487e-06 
0.9 0.2 -2.38271e-06 1.76813e-06 
0.95 0.2 -2.78308e-06 9.73177e-07 
1 0.2 -2.96113e-06 -1.19597e-14 
ZONE I=5, J=5
0 0.2 -2.96113e-06 -1.19597e-14 
0.05 0.2 -2.78308e-06 -9.73177e-07 
0.1 0.2 -2.38271e-06 -1.76813e-06 
0.15 0.2 -1.76003e-06 -2.38487e-06 
0.2 0.2 -9.1504e-07 -2.82339e-06 
0 0.25 -3.98329e-06 -1.67699e-14 
0.05 0.25 -3.74129e-06 -1.311e-06 
0.1 0.25 -3.20189e-06 -2.38173e-06 
0.15 0.25 -2.36509e-06 -3.2122e-06 
0.2 0.25 -1.2309e-06 -3.80241e-06 
0 0.3 -5.49687e-06 -2.36764e-14 
0.05 0.3 -5.16275e-06 -1.83016e-06 
0.1 0.3 -4.41834e-06 -3.3251e-06 
0.15 0.3 -3.26363e-06 -4.48484e-06 
0.2 0.3 -1.69863e-06 -5.30935e-06 
0 0.35 -7.50189e-06 -3.26793e-14 
0.05 0.35 -7.04747e-06 -2.53066e-06 
0.1 0.35 -6.03206e-06 -4.59825e-06 
0.15 0.35 -4.45564e-06 -6.20277e-06 
0.2 0.35 -2.31821e-06 -7.34421e-06 
0 0.4 -9.99832e-06 -4.37785e-14 
0.05 0.4 -9.39545e-06 -3.41251e-06 
0.1 0.4 -8.04305e-06 -6.20118e-06 
0.15 0.4 -5.94112e-06 -8.366e-06 
0.2 0.4 -3.08965e-06 -9.90698e-06 
ZONE I=5, J=5
0.2 0.2 -9.1504e-07 -2.82339e-06 
0.25 0.2 3.99966e-08 -2.98633e-06 
0.3 0.2 9.10116e-07 -2.8609e-06 
0.35 0.2 1.69532e-06 -2.44711e-06 
0.4 0.2 2.3956e-06 -1.74495e-06 
0.2 0.25 -1.2309e-06 -3.80241e-06 
0.25 0.25 5.28521e-08 -4.02244e-06 
0.3 0.25 1.22301e-06 -3.85372e-06 
0.35 0.25 2.27958e-06 -3.29625e-06 
0.4 0.25 3.22255e-06 -2.35002e-06 
0.2 0.3 -1.69863e-06 -5.30935e-06 
0.25 0.3 7.28726e-08 -5.61594e-06 
0.3 0.3 1.68765e-06 -5.38013e-06 
0.35 0.3 3.14572e-06 -4.60194e-06 
0.4 0.3 4.44706e-06 -3.28136e-06 
0.2 0.35 -2.31821e-06 -7.34421e-06 
0.25 0.35 1.00058e-07 -7.76681e-06 
0.3 0.35 2.30404e-06 -7.44013e-06 
0.35 0.35 4.29374e-06 -6.36419e-06 
0.4 0.35 6.06915e-06 -4.53897e-06 
0.2 0.4 -3.08965e-06 -9.90698e-06 
0.25 0.4 1.34409e-07 -1.04751e-05 
0.3 0.4 3.07217e-06 -1.00337e-05 
0.35 0.4 5.72364e-06 -8.58299e-06 
0.4 0.4 8.08881e-06 -6.12285e-06 
ZONE I=5, J=5
0.4 0.2 2.3956e-06 -1.74495e-06 
0.45 0.2 2.8078e-06 -8.72475e-07 
0.5 0.2 2.9452e-06 3.09971e-15 
0.55 0.2 2.8078e-06 8.72475e-07 
0.6 0.2 2.3956e-06 1.74495e-06 
0.4 0.25 3.22255e-06 -2.35002e-06 
0.45 0.25 3.77395e-06 -1.17501e-06 
0.5 0.25 3.95775e-06 4.63374e-15 
0.55 0.25 3.77395e-06 1.17501e-06 
0.6 0.25 3.22255e-06 2.35002e-06 
0.4 0.3 4.44706e-06 -3.28136e-06 
0.45 0.3 5.20779e-06 -1.64068e-06 
0.5 0.3 5.46137e-06 6.78211e-15 
0.55 0.3 5.20779e-06 1.64068e-06 
0.6 0.3 4.44706e-06 3.28136e-06 
0.4 0.35 6.06915e-06 -4.53897e-06 
0.45 0.35 7.10931e-06 -2.26948e-06 
0.5 0.35 7.45603e-06 9.54481e-15 
0.55 0.35 7.10931e-06 2.26948e-06 
